,count
2917,40
2918,35
2919,26
2920,17
2921,9
2922,5
2923,5
2924,7
2925,12
2926,18
2927,21
2928,23
2929,22
2930,21
2931,20
2932,20
2933,22
2934,27
2935,33
2936,38
2937,41
2938,41
2939,40
2940,40
2941,42
2942,45
2943,46
2944,45
2945,43
2946,40
2947,38
2948,36
2949,35
2950,33
2951,30
2952,25
2953,21
2954,18
2955,16
2956,16
2957,18
2958,22
2959,27
2960,35
2961,45
2962,54
2963,59
2964,59
2965,55
2966,49
2967,45
2968,41
2969,38
2970,37
2971,36
2972,36
2973,35
2974,34
2975,32
2976,30
2977,29
2978,27
2979,24
2980,21
2981,19
2982,19
2983,22
2984,24
2985,27
2986,29
2987,30
2988,32
2989,33
2990,34
2991,35
2992,36
2993,36
2994,36
